creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
BROCKHAMPTON,BROCKHAMPTON,"SATURATION I, II, & III",Album,2017,Loved,20s,{Rap},https://open.spotify.com/album/67smHJOf5YlFwad6dAlppm?si=5M89dUBzTOaAhu3gGO0_cg
Bruce Cockburn,Bruce Cockburn,Speechless,Album,2005,Loved,Teens,"{Rock},{Folk},{Guitar}",https://open.spotify.com/album/4YDbl2wUdoTpyErcBzIS74?si=Xobu3VNmTrS0lH5zNlnR1Q
Bruce Cockburn,Bruce Cockburn,Anything Anytime Anywhere,Album,2001,Loved,Teens,"{Rock},{Folk}",https://open.spotify.com/album/2SPw42NwLiAzaaFa8qly2H?si=CuH6k5dZT1GbObJ2E-unjQ
Bruce Hornsby,Bruce Hornsby,Halcyon Days,Album,2004,Loved,Teens,{Rock},https://open.spotify.com/album/3krJt11TsETPI3fmKao7mx?si=5KEFLvx3SvOvYi269GEYhg
Bruce Hornsby & the Noisemakers,Bruce Hornsby & the Noisemakers,Bride of the Noisemakers,Album,2011,Loved,20s,"{Rock},{Live}",https://open.spotify.com/album/3Y3w5UvZ0yazQRUKVtlVTo?si=YPVaQHeVTD-TxMu1GHHC2Q
Bruno Mars,Bruno Mars,24K Magic,Album,2016,Loved,20s,{Pop},https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA?si=yBTR8ZfkQIWgyqXlDshrOQ
Bryan Adams,Bryan Adams,The Best of Me,Album,1999,Loved,Childhood,{Rock},https://open.spotify.com/album/0S04vzLE8EPrLosoHPcEzM?si=ulLkS_OWStWwQpmNAlXFsw
Burt Bacharach & Daniel Tashian,Burt Bacharach & Daniel Tashian,Blue Umbrella,Album,2020,Loved,In the past year,{Jazz},https://open.spotify.com/album/0S04vzLE8EPrLosoHPcEzM?si=XNrnbEDfRlyiTfqTCY94cQ
Carly Rae Jepsen,Carly Rae Jepsen,E-mo-tion,Album,2015,Loved,20s,{Pop},https://open.spotify.com/album/09qAJ8LMsiil5IixKRjYGJ?si=g8jgSG5UQoOv6LQ9rF2ecg
Chance the Rapper,Chance the Rapper,Acid Rap,Album,2013,Loved,20s,{Rap},https://open.spotify.com/album/2VBcztE58pBKjIDS5oEgFh?si=T1SjpH_wRaiEdyxCAP5HMw
Charlie Puth,Charlie Puth,Voicenotes,Album,2018,Loved,20s,{Pop},https://open.spotify.com/album/0mZIUXje90JtHxPNzWsJNR?si=jHhJILksQjy0Njo_uhShhg
Childish Gambino,Childish Gambino,"""Awaken, My Love!""",Album,2016,Loved,20s,{R & B},https://open.spotify.com/album/4Carzsnpd6yvuHZ49I0oz8?si=zwu-9E_hSjepP15g2BKFfA
Coldplay,Coldplay,Viva La Vida,Album,2008,Loved,Teens,{Rock},https://open.spotify.com/album/1CEODgTmTwLyabvwd7HBty?si=q1OZyeEURJeSJt7nbfb87Q
Coldplay,Coldplay,Parachutes,Album,2000,Loved,Teens,{Rock},https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra?si=-D0SEOLbSoOpA972ojYGlg
Counting Crows,Counting Crows,Hard Candy,Album,2002,Loved,Teens,{Rock},https://open.spotify.com/album/50oL8ADjfT0n9gVoMpDwBy?si=2-GHrtIASCq3yLOYofTASQ
"Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young",Deja Vu,Album,1970,Loved,In the past year,"{Rock},{Folk}",https://open.spotify.com/album/5bHkK1X4WEOzNvRhehvOcb?si=XgwcAkWgQ6-Kt2hymuxdNQ
Daft Punk,Daft Punk,Alive 2007,Album,2007,Loved,20s,"{Electronic},{Live}",https://open.spotify.com/album/7u6zL7kqpgLPISZYXNTgYk?si=Kb6t4ElBQ9G6eTftbieWlA
Daft Punk,Daft Punk,Random Access Memories,Album,2013,Loved,20s,"{Electronic},{Funk},{Rock}",https://open.spotify.com/album/4m2880jivSbbyEGAKfITCa?si=Sh5jHvpgT0KDfFfkHWZ-Ag
Daft Punk,Daft Punk,Discovery,Album,2001,Loved,20s,{Electronic},https://open.spotify.com/album/2noRn2Aes5aoNVsU6iWThc?si=x6Z1JYEVTXqswQo3KEpK6A
Daniel Caesar,Daniel Caesar,Freudian,Album,2017,Loved,20s,{R & B},https://open.spotify.com/album/3xybjP7r2VsWzwvDQipdM0?si=3G49LtdvSNSfTxkymZN9Kw
Ethan Gruska,Ethan Gruska,En Garde,Album,2020,Loved,In the past year,{Alternative},https://open.spotify.com/album/2lgquOKqwJNvCg7UwvsjJy?si=jqzuV4ofRjCCYhQWLzbBCA
Fleetwood Mac,Fleetwood Mac,Rumours,Album,1977,Loved,20s,"{Folk},{Rock}",https://open.spotify.com/album/1bt6q2SruMsBtcerNVtpZB?si=b5BrvrMOSzyZg1r1HlQ3zw
Frank Ocean,Frank Ocean,Channel Orange,Album,2012,Loved,20s,{R & B},https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8?si=uqdHArp1SOaYUh-t-LF46Q
Frank Ocean,Frank Ocean,Blonde,Album,2016,Loved,20s,{R & B},https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf?si=48XcPB7HRF6Z7T9BQJ1LxQ
Good Lovelies,Good Lovelies,Good Lovelies,Album,2009,Loved,20s,{Folk},https://open.spotify.com/album/4X2thudi8pVWirzLK7Vcxx?si=bmLpdpTrT5-tRFRJiP2faQ
Good Lovelies,Good Lovelies,Let the Rain Fall,Album,2011,Loved,20s,{Folk},https://open.spotify.com/album/70UM6omLuSAURe4aJW2zOZ?si=JqDo-mE4Rh6MigdkZZ8flw
Inlet Sound,Inlet Sound,The Romantics,Album,2012,Loved,Teens,{Folk},https://open.spotify.com/album/3U43E56TUQJ4PquiPwRtoP?si=V7us3KLVTuGRCTupSOhZNw
Jack Johnson,Jack Johnson,In Between Dreams,Album,2005,Loved,Teens,{Folk},https://open.spotify.com/album/7tTc46dNdE6GGuiQsssWxo?si=wRHZna_HQb-966mnU8CnKA
Jacob Collier,Jacob Collier,Djesse Vol. 3,Album,2020,Loved,In the past year,{Funk},https://open.spotify.com/album/33cj3kzLqVOg9zvy69Wrc8?si=XIZvEjMMQLynq5Rw4NF7RA
James Taylor,James Taylor,October Road,Album,2002,Loved,20s,{Folk},https://open.spotify.com/album/3RHJNmuwD0fnwccBv2HTif?si=H8YV4IUUSDSv73gzQ5nNrg
